href,restaurantName,tags,address,rating,schedule,latitude,longitude
https://www.rappi.com.mx/restaurantes/990002365-pane-envia,Pane Envía - Jardines del Pedregal,Sándwiches,"Local BK 05, Plaza San Jerónimo, Av. San Jerónimo 630, Jardines del Pedregal, Álvaro Obregón, 01900 Ciudad de México, CDMX, México",4.5,['Horarios de Apertura y CierreLunes08:00 - 22:15Martes08:00 - 22:15Miércoles08:00 - 19:45Jueves10:00 - 22:00Viernes08:00 - 22:45Sábado08:00 - 22:45Domingo08:00 - 22:15'],19.329,-99.2107
https://www.rappi.com.mx/restaurantes/990003821-el-alfajor,El Alfajor - Santa Teresa,Postres,Coahuila 19 col santa Teresa delegación Magdalena Contreras C. P. 10710 CDMX  ( casa de ladrillo rojo con saguan negro ),,['Horarios de Apertura y CierreLunes08:15 - 17:30Martes08:15 - 17:30Viernes08:15 - 17:30Sábado08:15 - 16:00'],19.309194125317,-99.229310008598
https://www.rappi.com.mx/restaurantes/990004884-carls-jr,Carl's Jr. - Jardines del Pedregal de San Ángel,Hamburguesas,"Plaza Pedregal, Periferico Sur, Jardines del Pedregal de San Ángel, Ciudad de México, CDMX, México",4,['Horarios de Apertura y CierreLunes09:00 - 22:00Martes09:00 - 21:00Viernes09:00 - 22:00Sábado09:00 - 22:00Domingo09:00 - 22:00'],19.3056683,-99.2028421
https://www.rappi.com.mx/restaurantes/990007140-green-grass,Green Grass - Cruz Manca,Saludables y Ensaladas,"Vasco de Quiroga 3800, Lomas de Santa Fe, Contadero, Cuajimalpa de Morelos, 05348 Ciudad de México, CDMX",3.6,['Horarios de Apertura y CierreLunes09:00 - 21:00Martes09:00 - 21:00Miércoles09:00 - 18:00Jueves00:00 - 00:00Viernes09:00 - 21:30Sábado09:00 - 21:30Domingo09:00 - 21:30'],19.3613046,-99.2735343
https://www.rappi.com.mx/restaurantes/990007926-tamales-flor-de-lis,Tamales Flor de Lis - Lomas Axomiatla,Mexicana,"Cda. Las Águilas #1952, Local 11-A, Col. Lomas Axomiatla, Del. Álvaro Obregón, C.P. 01820, CDMX. (dentro de plaza axomiatla, A un lado de la veterinaria Zoomania y Tintorería Max)",3.8,['Horarios de Apertura y CierreLunes08:30 - 19:30Martes08:30 - 19:30Miércoles08:00 - 18:30Viernes08:30 - 19:30Sábado08:30 - 19:30Domingo08:30 - 19:30'],19.340941899477,-99.25242774773
https://www.rappi.com.mx/restaurantes/1306704860-starbucks,Starbucks - Fuentes del Pedregal,Café y Té,"Camino a Santa Teresa No. 13,    Col. Heroes de Padierna,  M?xico D.F.  C.P.14200",4.3,['Horarios de Apertura y CierreLunes06:30 - 21:55Martes06:30 - 21:55Miércoles08:30 - 21:00Jueves09:00 - 21:00Viernes06:30 - 21:55Sábado07:00 - 21:55Domingo07:00 - 21:55'],19.310427,-99.224285
https://www.rappi.com.mx/restaurantes/1306705607-vips,Vips - San Jerónimo Lídice,Chilaquiles y Enchiladas,"AV CONTRERAS 32, COL SAN JERONIMO LIDICE, DEL MAGDALENA CONTRERAS, CP 10200",4,['Horarios de Apertura y CierreLunes07:00 - 21:55Martes07:00 - 21:55Miércoles07:00 - 19:00Jueves09:00 - 21:55Viernes07:00 - 21:55Sábado07:00 - 21:55Domingo07:00 - 21:55'],19.330127,-99.211724
https://www.rappi.com.mx/restaurantes/1306707504-el-bajio,El Bajío - Jardines del Pedregal,Mexicana,"Blvd Adolfo Ruiz Cortinez 3720, Col. Jardines del Pedregal, Del. Alvaro Obregon ",4.3,['Horarios de Apertura y CierreLunes08:00 - 17:30Martes08:00 - 21:30Miércoles08:00 - 17:30Jueves10:00 - 17:30Viernes08:00 - 22:30Sábado08:00 - 22:30Domingo08:00 - 20:30'],19.3126,-99.2193
https://www.rappi.com.mx/restaurantes/1306708352-frutos-prohibidos,Frutos Prohibidos - Jardines del Pedregal,Saludables y Ensaladas,"Anillo Perif. 019, Jardines del Pedregal, Álvaro Obregón, 01900 Ciudad de México, CDMX, México (Entrar por la entrada uno)",3.8,['Horarios de Apertura y CierreLunes08:00 - 21:30Martes08:00 - 21:30Miércoles09:00 - 17:30Jueves00:00 - 00:01Viernes08:00 - 21:30Sábado09:00 - 21:30Domingo09:00 - 20:30'],19.31261197,-99.21934804
https://www.rappi.com.mx/restaurantes/1306714492-la-crepe-parisienne,La Crêpe Parisienne - Jardines del Pedregal,Postres,"Periférico Sur # 3720, Jardines del Pedregal, 01900 Ciudad de México, CDMX",,['Horarios de Apertura y CierreLunes09:00 - 21:30Martes09:00 - 21:30Miércoles09:00 - 17:30Jueves12:00 - 21:30Viernes09:00 - 21:30Sábado09:00 - 21:30Domingo09:00 - 21:30'],19.3126,-99.2193
