href,restaurantName,tags,address,schedule,latitude,longitude
https://www.ubereats.com/mx/store/asadero-adictos-a-la-arrachera/iZL2UWKKThm0HDhpsnqkVg,Asadero Adictos a la Arrachera,"4.5 xStar (1,000+) • Mexicana • Tacos • Tacos • $ • Información","Calle Damasco 120, Romero Rubio Ciudad de México, CDMX, Mexico

Mexico City,",Domingo2:00 p.m. - 10:00 p.m. • Menú2:00 p.m. - 10:00 p.m. • MenúLunes - MartesMiércoles - Sábado2:00 p.m. - 10:00 p.m. • Menú,19.4457256,-99.0970947
https://www.ubereats.com/mx/store/el-camaron-guasaveno-eje-central/ZgQBAZwiTnaHqqiu2sg4Ig,El Camarón Guasaveño (Eje Central),"4.5 xStar (2,000+) • Pescados y mariscos • Ambiente familiar • $$$$ • Información","Eje Central Massenet 137

Mexico City, Ciudad de México",Todos los días10:15 a.m. - 7:55 p.m.,19.4644623,-99.1376751
https://www.ubereats.com/mx/store/salada-%26-dulce/dS-k3z6ARPSe0I1X_kx5FA,Salada & Dulce,"4.6 xStar (9,000+) • Saludable • Comida económica • $ • Información","Calle Nte. 74 6003, Gertrudis Sánchez I Secc

Ciudad de México, Ciudad de México",Domingo8:50 a.m. - 1:30 p.m. • Paquetes.8:30 a.m. - 8:00 p.m. • Las hamburguesasLunes - Sábado8:30 a.m. - 2:00 p.m. • Paquetes.8:30 a.m. - 8:00 p.m. • Las hamburguesas,19.467586,-99.1046562
https://www.ubereats.com/mx/store/jimmy-subs-tepeyac/J04JrNWjWaet9gey6knYDw,Jimmy Subs (Tepeyac),4.5 xStar (280+) • Sándwiches • Bagels • Ensaladas • $$$$ • Información,"81 Avenida Tesoro

Ciudad de México, LATAM",Domingo10:00 a.m. - 7:40 p.m.Lunes - Jueves11:00 a.m. - 9:40 p.m.Viernes - Sábado12:00 p.m. - 10:40 p.m.,19.47374,-99.11791
https://www.ubereats.com/mx/store/pizzas-bang-bang/PEoNDHMYQzCPK9dNllWuJw,Pizzas Bang Bang,"4.5 xStar (1,000+) • Italiana • Comida económica • $ • Información","Calle Oriente 168 210, Moctezuma 2da Secc

Ciudad de México, CDMX",Todos los días1:30 p.m. - 9:00 p.m.,19.4315145,-99.0959891
https://www.ubereats.com/mx/store/los-tacos-pal-canton/EpLhtfFbSiCO6sDMHWzLGw,Los Tacos Pa'l Cantón,"4.8 xStar (2,000+) • Tacos • Mexicana • Latinoamericana • $$ • Información","Calle 613 15

Gustavo A Madero, DF",Domingo2:30 p.m. - 10:00 p.m.LunesMartes - Sábado2:30 p.m. - 10:00 p.m.,19.4481521,-99.0663209
https://www.ubereats.com/mx/store/el-rey-del-snack/BqU36myIU8SBzkGVI7Htig,El Rey del Snack,4.9 xStar (14) • Hamburguesas • Americana • Sándwiches • Información,"CALLE CAIRO 304, Fernando Casas Alemán, GUSTAVO A MADERO

Gustavo A Madero, LATAM",Domingo3:30 p.m. - 10:30 p.m.LunesMartes - Sábado3:30 p.m. - 10:30 p.m.,19.45215266119462,-99.09700290102134
https://www.ubereats.com/mx/store/tacos-charly/NoCDGbFtTaaoI29eMq9QZw,Tacos Charly,4.5 xStar (900+) • Mexicana • Latinoamericana • Mexicana • $ • Información,"Avenida 506 41

,",Domingo6:00 p.m. - 1:40 a.m.Lunes - Miércoles6:00 p.m. - 1:20 a.m.Jueves - Sábado6:00 p.m. - 1:40 a.m.,19.4571959,-99.0936414
https://www.ubereats.com/mx/store/china-express-oceania/MeAAEoEmVqm-7PaEfTbZMg,China Express (Oceania),"4.6 xStar (1,500+) • China • Asiática • Especialidades • $ • Información","Avenida del Peñón 355

,",Todos los días12:30 p.m. - 7:00 p.m.,19.4397383,-99.0947857
https://www.ubereats.com/mx/store/house-of-carbs-tepeyac/hahPZORNUpyPw1h6oNhiGw,House of Carbs (Lindavista), • Hamburguesas • Americana • Comida económica • Comida rápida • Información,"Calzada de los Misterios 16

Ciudad de México, LATAM",Todos los días11:00 a.m. - 9:00 p.m.,19.48655,-99.11834
https://www.ubereats.com/mx/store/taqueria-los-panchos-de-fundidora/BVSrxJ7LQU2v-8mP6irtKQ,Taqueria los Panchos de Fundidora,"4.7 xStar (6,000+) • Mexicana • Tacos • Tacos • $$ • Información","Av. Ing. Alfredo Robles Domínguez 119

,",Domingo3:30 p.m. - 11:59 p.m. • Menú 13:30 p.m. - 11:59 p.m. • Menú 13:30 p.m. - 11:59 p.m. • Menú 112:00 a.m. - 1:00 a.m. • Menú 1Lunes - Jueves3:30 p.m. - 11:59 p.m. • Menú 1Viernes3:30 p.m. - 11:59 p.m. • Menú 13:30 p.m. - 11:59 p.m. • Menú 1Sábado3:30 p.m. - 11:59 p.m. • Menú 13:30 p.m. - 11:59 p.m. • Menú 112:00 a.m. - 1:00 a.m. • Menú 13:30 p.m. - 11:59 p.m. • Menú 1,19.46947173270459,-99.12899385529046
https://www.ubereats.com/mx/store/hot-dogs-la-23/chCHsco7RQqd_MLCovCXKA,Hot Dogs La 23 ,4.8 xStar (500+) • Hamburguesas • Americana • Perros calientes • Información,"San Juan De Aragon

,",Todos los días2:00 p.m. - 10:30 p.m.,19.47880124491924,-99.09680080484902
https://www.ubereats.com/mx/store/los-machetes-amparito-guerrero/x8JeiLOaR1-WfebqfEZ62Q,,,,,,
https://www.ubereats.com/mx/store/taqueria-el-tigre/yu5Cbl-sTc27DFpskHZweQ,Taquería El Tigre,"4.6 xStar (3,000+) • Mexicana • Tacos • Tacos • $$ • Información","Av. Ing. Eduardo Molina 5403

Mexico City, Gustavo a Madero",Todos los días2:35 p.m. - 2:30 a.m.,19.4624558,-99.1045276
https://www.ubereats.com/mx/store/pizzeria-la-sierra-gran-terraza-coapa/bTQ0kul0XRKgoDLzDr8rZg,Pizzería La Sierra (Gran Terraza Coapa),4.7 xStar (19) • Pizza • Desayuno y brunch • Hamburguesas • Información,"Calzada Acoxpa 610

Ciudad de México, LATAM",Domingo9:00 a.m. - 9:00 p.m. • Menú9:00 a.m. - 9:00 p.m. • MenúLunes9:00 a.m. - 9:00 p.m. • MenúMartes - Sábado9:00 a.m. - 9:00 p.m. • Menú9:00 a.m. - 9:00 p.m. • Menú,19.2946619,-99.127935
https://www.ubereats.com/mx/store/tuestaesquites-nane/ApzhJpgfUmayAHtTzdZNJA,TuestaEsquites Nane,4.8 xStar (200+) • Mexicana • Latinoamericana • Mexicana • Información,"Cafetales 22

Ciudad de México, LATAM",DomingoLunes - Sábado4:00 p.m. - 11:00 p.m. • Esquites6:00 p.m. - 11:00 p.m. • Quesadillas,19.3073726,-99.1115199
https://www.ubereats.com/mx/store/el-bajio-cocina-mexicana-acoxpa/zS-ZqwK-RIWi4C-yGexqpA,El Bajío Cocina Mexicana (Acoxpa),"4.7 xStar (4,000+) • Mexicana • Ambiente familiar • Gourmet • Especialidades • Premium • $$$$ • Información","CALZ. ACOXPA 430, COL. EX-HACIENDA COAPA DEL. TLALPAN

Mexico City, Ciudad de Mexico",Domingo9:00 a.m. - 1:00 p.m. • Desayuno1:00 p.m. - 8:00 p.m. • ComidaLunes - Sábado8:00 a.m. - 1:00 p.m. • Desayuno1:00 p.m. - 9:00 p.m. • Comida,19.2998235,-99.13642
https://www.ubereats.com/mx/store/asadero-puerto-penasco/kEfjlZS7QQicfaAH2D3NrA,Asadero Puerto Peñasco,4.6 xStar (800+) • Mexicana • Ambiente familiar • $$ • Información,"Av Renato Leduc 151, Toriello Guerra

Ciudad de México, CDMX",Domingo1:00 p.m. - 6:45 p.m.Lunes1:00 p.m. - 8:30 p.m.Martes1:00 p.m. - 9:45 p.m.Miércoles - Sábado1:00 p.m. - 9:30 p.m.,19.294766,-99.1615316
https://www.ubereats.com/mx/store/pasteko-coapa/UuZxpryMRje4HBY5zSwfoA,Pasteko Coapa (Mexico City),4.8 xStar (150+) • Latinoamericana • Apto para niños • Café • $ • Información,"Prolongación División Del Norte 4541 Local 17

Ciudad de México, DF",Domingo8:00 a.m. - 8:30 p.m.Lunes - Viernes8:00 a.m. - 9:00 p.m.Sábado8:00 a.m. - 8:30 p.m.,19.2902654,-99.1313884
https://www.ubereats.com/mx/store/perros-y-burros-coapa/nSJk7LpiRXGxH9NP6dbCuw,Perros y Burros (Coapa),4.1 xStar (100+) • Mexicana • Tacos • Tacos • $$$$ • Información,"Calz Acoxpa 610

,",Todos los días10:00 a.m. - 10:30 p.m.,19.2945642,-99.1285113
https://www.ubereats.com/mx/store/lobos-pizza-mexico-city/zx4QNu03Rz-PslWknIXZlw,Lobos Pizza (Mexico City),4.8 xStar (420+) • Pizza • Americana • Italiana • $$$ • Información,"Calle 5 de Mayo 63

Tlalpan, DF",Domingo12:30 p.m. - 9:00 p.m.Lunes - Jueves2:00 p.m. - 9:00 p.m.Viernes - Sábado12:30 p.m. - 9:00 p.m.,19.2519712,-99.1737392
https://www.ubereats.com/mx/store/cassava-roots-paseo-acoxpa/TD8HyrJ0Rka5GPK0_e9BCg,Cassava Roots Paseo Acoxpa,4.7 xStar (74) • Asiática • Postres • Jugos y smoothies • Información,"Calzada Acoxpa 430

Tlalpan, DF",Todos los días11:30 a.m. - 8:30 p.m.,19.2995794,-99.1372421
https://www.ubereats.com/mx/store/fresas-divinas-sucursal-coapa-mexico-city/esV8xyX1VKGA_b6fVso6Eg,Fresas Divinas- Sucursal Coapa (Mexico City),4.8 xStar (71) • Postres • Café y té • Información,"Club Veracruz 9, Coapa, Villa Lázaro Cárdenas

Tlalpan, LATAM",Domingo - Martes2:00 p.m. - 9:00 p.m. • MenúMiércoles - Sábado2:00 p.m. - 9:00 p.m. • Menú2:00 p.m. - 9:00 p.m. • Menú,19.295813111072988,-99.13387479815472
https://www.ubereats.com/mx/store/burguer-ham!-ham!/ycCNEza4WPeuvdxgkV1o_Q,Burguer Ham! Ham!,4.4 xStar (480+) • Americana • Comida rápida • Hamburguesas • Información,"Calle Cuaunacastla & Moctezuma

Tlalpan, DF",Todos los días11:00 a.m. - 2:50 a.m.,19.299881,-99.1652112
https://www.ubereats.com/mx/store/tacos-arabes-marhaban/Ar_etEpHTxyxOsQAtmiPzw,Tacos Arabes Marhaban,4.5 xStar (600+) • Mexicana • Libanesa • $ • Información,"cerrada de Cantera 233 Tlapan

Ciudad de México, DF",Todos los días8:30 a.m. - 10:00 p.m.,19.28396,-99.1722105
https://www.ubereats.com/mx/store/pozoleria-chilpancingo/5FIkq206SyyvtuBStko6QQ,Pozolería Chilpancingo,"4.7 xStar (1,500+) • Mexicana • Tacos • Tacos • $$ • Información","Calz. del Hueso 718

Mexico City, CDMX",Domingo11:00 a.m. - 7:00 p.m.LunesMartes - Miércoles1:10 p.m. - 8:30 p.m.Jueves - Sábado1:10 p.m. - 9:00 p.m.,19.3015087,-99.1165784
https://www.ubereats.com/mx/store/wuffalo-punto-maq/flo_74sWQwCM4RXP1peUHg,Wuffalo Punto MAQ,4.4 xStar (58) • Hamburguesas • Alitas • Americana • Información,"Wuffalo

Coyoacán, DF",Domingo - Miércoles1:00 p.m. - 10:00 p.m.Jueves - Sábado1:00 p.m. - 11:00 p.m.,19.342918,-99.1469175
https://www.ubereats.com/mx/store/alitas-jessy/8uuqLcXeU2y9RARUoQTJ5g,Alitas Jessy,4.5 xStar (430+) • Americana • Sándwiches • Comida económica • Hamburguesas • $ • Información,"Avenida Aztecas 437

Coyoacán, DF",Domingo2:00 p.m. - 12:30 a.m.LunesMartes - Jueves2:00 p.m. - 12:30 a.m.Viernes - Sábado2:00 p.m. - 1:00 a.m.,19.3229062,-99.1605584
https://www.ubereats.com/mx/store/tamalitos-meli-tepepan/e5u3HSJjQbGyVE76-aX3vQ,Tamalitos Meli (Tepepan),"4.7 xStar (3,000+) • Mexicana • Comida económica • Tamales • $ • Información","Joya 242, Valle Escondido, Tlalpan Ciudad de México, México

Mexico City, CDMX",Todos los días8:00 a.m. - 9:30 p.m.,19.276386,-99.1430797
https://www.ubereats.com/mx/store/la-buena-tierra-acoxpa/q9Vx1Wb5TSecWQlOI07X0Q,La Buena Tierra (Acoxpa),"4.7 xStar (9,000+) • Desayuno y brunch • Exclusivo de Uber Eats • $$$ • Información","Calz Acoxpa 430

Ciudad de México, CDMX",Todos los días9:30 a.m. - 1:00 p.m. • Desayunos9:30 a.m. - 8:45 p.m. • Comidas,19.2986093,-99.1369627
https://www.ubereats.com/mx/store/day-light-salads-galerias-coapa/9tphSYHiTmSc6xZ7by2MVQ,Day Light Salads Galerias Coapa,"4.5 xStar (3,000+) • Ensaladas • $ • Información","Calz. del Hueso 519, Residencial Miramontes

Ciudad de México, Ciudad de México",,19.3027291,-99.1230964
https://www.ubereats.com/mx/store/antojitos-%22el-sazon-de-dona-jose%22/Ca0Tejt1QUuJJz-O9TEUcg,,,,,,
https://www.ubereats.com/mx/store/la-hambur/OEBrZIwLUj-XNMiGFTfS5w,La Hambur,4.9 xStar (76) • Americana • Sándwiches • Hamburguesas • Alitas • Fried Foods • Pollo • Carne • Queso • $$$$ • Información,"Joya 189, col valle escondido del. Tlalpan.

Ciudad de México, LATAM",Domingo1:30 p.m. - 8:40 p.m.LunesMartes - Miércoles1:30 p.m. - 9:30 p.m.Jueves - Sábado1:30 p.m. - 10:30 p.m.,19.2766326,-99.1439862
https://www.ubereats.com/mx/store/rocking-burgers-iman/EZtK660CTEuvNjBfpmq_eA,Rocking Burgers Iman,"4.8 xStar (7,000+) • Americana • Comida rápida • Hamburguesas • Perros calientes • $$ • Información","Chicaras Esq Av Del Iman 8

, DF",Domingo2:00 p.m. - 9:30 p.m.Lunes - Sábado2:00 p.m. - 10:00 p.m.,19.3056387,-99.1614239
https://www.ubereats.com/mx/store/estrella-de-jalisco-2/oV46PpcyRNu_DyW_98kpng,Estrella de Jalisco 2,"4.7 xStar (20,000+) • Mexicana • Comida económica • $ • Información","Av. Talismán 123, Aragón La Villa(Aragón), Gustavo A. Madero Ciudad de México, CDMX, Mexico

Mexico City,",Todos los días3:35 p.m. - 11:25 p.m.,19.4763031,-99.1145758
https://www.ubereats.com/mx/store/indian-takeaway/MW1D9K-CXImF6h2FhHISkw,Indian Takeaway, • India • Vegetariana • Asiática • Información,"Mercado Independencia

Cuauhtémoc, CDMX",Todos los días12:00 p.m. - 9:00 p.m.,19.43367,-99.14386
https://www.ubereats.com/mx/store/benditas-fresas-euzkaro/TEkv3_mvXbi9bR8mEohgkg,Benditas Fresas (Euzkaro),"4.7 xStar (3,000+) • Postres • Postres • $ • Información","Avenida Euzkaro 188

Gustavo A Madero, Mexico City",Todos los días12:30 p.m. - 9:45 p.m.,19.4805078,-99.1267724
https://www.ubereats.com/mx/store/quesadillas-mari-fortuna/QaQcuFWSXpqm2xi-t4iiZw,Quesadillas Mari Fortuna,"4.5 xStar (7,000+) • Mexicana • Latinoamericana • Mexicana • $ • Información","Av. la Fortuna 124

Gustavo A. Madero, LATAM",Domingo3:00 p.m. - 9:40 p.m.Lunes - Sábado1:00 p.m. - 11:15 p.m.,19.4807053,-99.123761
https://www.ubereats.com/mx/store/swagat-indian-restaurant/SerNSWXqUXqH6talxB2tjw,Swagat Indian Restaurant,4.5 xStar (180+) • India • Vegetariana • Asiática • Información,"Calle Independencia 40, 1st Floor

Cuauhtémoc, LATAM",Domingo12:00 p.m. - 7:30 p.m.Lunes - Sábado12:00 p.m. - 9:00 p.m.,19.43324,-99.14425
https://www.ubereats.com/mx/store/esquites-%E2%80%9Cel-apache%E2%80%9D/R05RFkHUXCyKxNy1zYRZUQ,Esquites “El Apache”,4.6 xStar (600+) • mexican • latinamerican • newmexican • $ • Información,"Calle Federico Chopin 166

Cuauhtémoc, LATAM",Domingo6:30 p.m. - 10:00 p.m.Lunes - MartesMiércoles - Sábado6:30 p.m. - 10:00 p.m.,19.4608305,-99.1370575
https://www.ubereats.com/mx/store/taqueria-susy-la-original/9-3RGCiGQn6YwaD9LkVEzA,Taquería Susy la Original,"4.5 xStar (8,000+) • Mexicana • Comida económica • $$ • Información","Av la Fortuna 109, Tepeyac Insurgentes

Ciudad de México, Ciudad de México",Domingo2:15 p.m. - 2:30 a.m.Lunes - Jueves5:15 p.m. - 2:30 a.m.Viernes - Sábado2:15 p.m. - 2:30 a.m.,19.4806111,-99.1228825
