url,nombre,tags,direccion,rating,lunes,martes,miercoles,jueves,viernes,sabado,domingo,geometry,contRating,rangPrec
https://www.ubereats.com/mx/store/papas-locas/uZdFkyJFWbS3RoeiVrsTxw,PAPAS LOCAS,"['Hamburguesas', 'Americana', 'Sándwiches']","Nacion 1, Local B PB Ciudad de México, LATAM",3.8,12:00 p.m. - 7:00 p.m. ,12:00 p.m. - 9:00 p.m.,12:00 p.m. - 9:00 p.m.,12:00 p.m. - 9:00 p.m.,12:00 p.m. - 9:00 p.m.,12:00 p.m. - 6:00 p.m.,cerrado,POINT (-99.1336264 19.5116867),53,
https://www.ubereats.com/mx/store/boulevard-alitas-%26-costillas/Ns45tpT8Rz-X9Rmp8L9DQg,Boulevard Alitas & Costillas,"['Alitas', 'Hamburguesas']","Prol. Vallejo-100 Metros 20, U.H. el Tenayo, 54148 Tlalnepantla de Baz, Méx., México Mexico City,",4.7,2:00 p.m. - 10:30 p.m.,2:00 p.m. - 10:30 p.m.,2:00 p.m. - 10:30 p.m.,2:00 p.m. - 10:30 p.m.,2:00 p.m. - 12:00 a.m.,2:00 p.m. - 12:00 a.m.,2:00 p.m. - 10:30 p.m.,POINT (-99.1696365 19.5480514),500+,$
https://www.ubereats.com/mx/store/sirloinshhhito/qGziq_5cUiqJEC2qiH0pDg,SIRLOINSHHHITO,"['Mexicana', 'Latinoamericana', 'Mexicana']","PAYTA 771 A LINDAVISTA Gustavo A Madero, LATAM",4.3,11:00 a.m. - 9:00 p.m.,11:00 a.m. - 9:00 p.m.,11:00 a.m. - 9:00 p.m.,11:00 a.m. - 9:00 p.m.,11:00 a.m. - 9:00 p.m.,1:00 p.m. - 9:00 p.m.,cerrado,POINT (-99.133248 19.494168),26,
https://www.ubereats.com/mx/store/da-vinci/fH1_yPbURs2VYL3t0MGQQA,Da Vinci,['Hamburguesas'],"Manuel luis stampa ortigoza 306 colonia ,",4.9,cerrado,3:00 p.m. - 9:00 p.m.,3:00 p.m. - 9:00 p.m.,3:00 p.m. - 9:30 p.m. ,3:00 p.m. - 10:30 p.m.,3:00 p.m. - 10:30 p.m.,4:00 p.m. - 10:00 p.m.,POINT (-99.1412098 19.5093049),"1,000+",$$
https://www.ubereats.com/mx/store/super-pollo/LkoLOVLJS3mdkT9rIn8_gQ,Super Pollo,"['Mexicana', 'Comida económica']","Av Texcoco 486, Vicente Villada Nezahualcóyotl, México Mexico City, Méx.",4.5,11:15 a.m. - 6:30 p.m.,11:15 a.m. - 6:30 p.m.,11:15 a.m. - 6:30 p.m.,11:15 a.m. - 6:30 p.m.,11:15 a.m. - 6:30 p.m.,11:15 a.m. - 6:30 p.m.,11:15 a.m. - 6:30 p.m.,POINT (-99.0149715 19.3810268),700+,$
https://www.ubereats.com/mx/store/tortas-gigantes-el-chaparrito-mexico-city/fR2san8qSXS4lUsFo1iEkA,Tortas Gigantes El Chaparrito  (Mexico City),"['Hamburguesas', 'Perros calientes', 'Mexicana', 'Burritos']","Avenida República Federal del Norte 128 Iztapalapa, CDMX",4.2,10:00 a.m. - 8:00 p.m. menú ,10:00 a.m. - 8:00 p.m. menú | 10:00 a.m. - 8:00 p.m. menú,10:00 a.m. - 8:00 p.m. menú | 10:00 a.m. - 8:00 p.m. menú,10:00 a.m. - 8:00 p.m. menú | 10:00 a.m. - 8:00 p.m. menú,10:00 a.m. - 8:00 p.m. menú | 10:00 a.m. - 8:00 p.m. menú,10:00 a.m. - 8:00 p.m. menú,cerrado,POINT (-99.0143936454778 19.374010907452675),53,$
https://www.ubereats.com/mx/store/taqueria-el-antojo/9J4U0sjBUHeA-KPIQxMi4A,Taquería El Antojo,"['Mexicana', 'Latinoamericana', 'Mexicana']","Ignacio Manuel Altamirano 13 Iztapalapa, México",4.7,5:00 p.m. - 11:50 p.m.,5:00 p.m. - 11:50 p.m.,5:00 p.m. - 11:50 p.m.,5:00 p.m. - 11:50 p.m.,5:00 p.m. - 12:30 a.m.,5:00 p.m. - 12:30 a.m.,5:00 p.m. - 12:30 a.m.  ,POINT (-99.0475812 19.340535),500+,$
https://www.ubereats.com/mx/store/yuki-roll/PH0zTIkcT9aYJQ9y1isovA,Yuki Roll,"['Sushi', 'Asiática', 'Japonesa', 'Especialidades']","Calle Porfirio Sosa, 09270 Mexico City, Mexico City",4.6,1:00 p.m. - 8:00 p.m.,1:00 p.m. - 8:00 p.m.,1:00 p.m. - 8:00 p.m.,1:00 p.m. - 8:00 p.m.,1:00 p.m. - 8:00 p.m.,1:00 p.m. - 8:00 p.m.,1:00 p.m. - 8:00 p.m.,POINT (-99.053231 19.3469281),"1,000+",$
https://www.ubereats.com/mx/store/pozole-deli/UkwWuFpuR3KuTS4KPG-vEQ,POZOLE-DELI,"['Mexicana', 'Latinoamericana', 'Mexicana']","Calle Octavio Paz 95 Iztapalapa, DF",4.5,2:00 p.m. - 10:00 p.m.,2:00 p.m. - 10:00 p.m.,2:00 p.m. - 10:00 p.m.,1:00 p.m. - 10:00 p.m.,1:30 p.m. - 10:00 p.m.,5:00 p.m. - 10:00 p.m.,1:30 p.m. - 10:00 p.m. ,POINT (-99.0081686 19.3591547),93,
https://www.ubereats.com/mx/store/taqueria-y-parrilla-%22la-tapatia%22-mexico-city/k058bYstTl6aZxXS4ZLZkw,"Taquería Y Parrilla ""La Tapatía"" (Mexico City)","['Tacos', 'Mexicana', 'Latinoamericana', 'Hamburguesas', 'Tacos', 'Pollo', 'Pollo', 'Carne', 'Bebidas']","Revolución Social 32 Ciudad de México, DF",5.0,5:30 p.m. - 11:59 p.m.,5:30 p.m. - 11:59 p.m.,5:30 p.m. - 11:59 p.m.,5:30 p.m. - 11:59 p.m.,5:30 p.m. - 1:00 a.m.,5:30 p.m. - 1:00 a.m.,5:30 p.m. - 11:59 p.m.,POINT (-99.0535104853286 19.35171654771517),9,
https://www.ubereats.com/mx/store/la-bocatteria-cemitas-poblanas-y-algo-mas/r3Ork6zcW-C23eFL6uoKJA,La Bocatteria cemitas poblanas y algo mas,"['Mexicana', 'Latinoamericana', 'Mexicana']","Avenida Santa Cruz Meyehualco & Calle 1738 Ciudad de México, LATAM",4.2,7:00 a.m. - 7:00 p.m. menú | 8:00 a.m. - 1:00 p.m. desayunos 1,7:00 a.m. - 7:00 p.m. menú | 8:00 a.m. - 1:00 p.m. desayunos 1,7:00 a.m. - 7:00 p.m. menú | 8:00 a.m. - 1:00 p.m. desayunos 1,7:00 a.m. - 7:00 p.m. menú | 8:00 a.m. - 1:00 p.m. desayunos 1,7:00 a.m. - 7:00 p.m. menú | 8:00 a.m. - 1:00 p.m. desayunos 1,8:00 a.m. - 10:00 p.m. menú | 8:00 a.m. - 1:00 p.m. desayunos 1,8:00 a.m. - 10:00 p.m. menú | 8:00 a.m. - 1:00 p.m. desayunos 1 ,POINT (-99.0363161 19.3457846),450+,$$
https://www.ubereats.com/mx/store/%22tacos-arabes%22-el-mejor-sazon-de-puebla/M7A4kc81RgiY18WIWvpGPw,"""Tacos Árabes"" El Mejor Sazón de Puebla","['Mexicana', 'Tacos', 'Tacos']","Calle 10 586 Ciudad de México, CMX",4.6,cerrado,5:00 p.m. - 12:00 a.m.,5:00 p.m. - 12:00 a.m.,5:00 p.m. - 12:00 a.m.,5:00 p.m. - 12:00 a.m.,5:00 p.m. - 12:00 a.m.,5:00 p.m. - 12:00 a.m.,POINT (-99.1556343 19.4769694),300+,$$
https://www.ubereats.com/mx/store/antojitos-luluc/W_scnrvbR7-KV2-8YztxlA,Antojitos Lulú'C,"['Mexicana', 'Tacos', 'Tacos']","Av. 22 de Febrero, Los Reyes, Ciudad de México, CDMX, México Mexico City,",4.5,7:00 p.m. - 11:00 p.m.,7:00 p.m. - 11:00 p.m.,7:00 p.m. - 11:00 p.m.,7:00 p.m. - 11:00 p.m.,7:00 p.m. - 11:00 p.m.,7:00 p.m. - 11:00 p.m.,7:00 p.m. - 11:00 p.m.,POINT (-99.1828451 19.4847267),440+,$
https://www.ubereats.com/mx/store/elotes-el-parce/ZzYtoPfdRmyqR4hvyE2_7A,Elotes El Parce,"['Mexicana', 'Comida rápida']","Calzada De Los Jinetes 39, Las Arboledas Tlalnepantla de Baz, EM",4.4,4:30 p.m. - 9:30 p.m. menú el parce,4:30 p.m. - 9:30 p.m. menú el parce,4:30 p.m. - 9:30 p.m. menú el parce,4:30 p.m. - 9:30 p.m. menú el parce | 4:30 p.m. - 9:45 p.m. menú el parce ,4:30 p.m. - 9:30 p.m. menú el parce,4:30 p.m. - 9:30 p.m. menú el parce,4:30 p.m. - 9:30 p.m. menú el parce,POINT (-99.2131739 19.5550526),410+,$
https://www.ubereats.com/mx/store/wan-lis/v3PD3QSHT1G_r1s18ZNRfQ,Wan Lis,"['China', 'Asiática', 'Pescados y mariscos', 'Comida económica']","Avenida Azcapotzalco 527 Mexico City, Mexico City",4.6,12:30 p.m. - 8:30 p.m.,12:30 p.m. - 8:30 p.m.,12:30 p.m. - 8:30 p.m.,12:30 p.m. - 8:30 p.m.,12:30 p.m. - 8:30 p.m.,12:30 p.m. - 8:30 p.m.,12:30 p.m. - 8:30 p.m.,POINT (-99.1863598 19.477918),"3,000+",$$
https://www.ubereats.com/mx/store/elotes-las-nortenitas/MnVAr46GUvqrLhWdPZVvbQ,Elotes Las Norteñitas,"['Mexicana', 'Mexicana', 'Comida rápida']","Rtno. 8 Blvd. a Queretaro 2D Tlalnepantla de Baz, Mexico",4.7,cerrado,5:45 p.m. - 8:30 p.m.,5:45 p.m. - 8:30 p.m.,5:45 p.m. - 8:30 p.m.,5:45 p.m. - 8:30 p.m.,5:45 p.m. - 8:30 p.m.,5:30 p.m. - 8:30 p.m.,POINT (-99.2196972 19.5303144),700+,$
